"hour","mode1","mode2","mode3"
"4am",0.2921,0.2847,0.3022
"5am",0.2959,0.282,0.2993
"6am",0.2944,0.2834,0.3009
"7am",0.36,0.2968,0.2661
"8am",0.3842,0.2799,0.2348
"9am",0.3633,0.2664,0.2432
"10am",0.3555,0.2508,0.2248
"11am",0.3679,0.2655,0.2339
"12am",0.3744,0.2817,0.2501
"1pm",0.3464,0.2758,0.2473
"2pm",0.3519,0.2777,0.2493
"3pm",0.2623,0.2557,0.2719
"4pm",0.2735,0.2409,0.2834
"5pm",0.2767,0.2614,0.3054
"6pm",0.2823,0.2581,0.3026
"7pm",0.2863,0.2544,0.2914
"8pm",0.2905,0.2642,0.2965
"9pm",0.2977,0.2764,0.3085
"10pm",0.3026,0.2783,0.3074
"11pm",0.3045,0.2855,0.3108
"12pm",0.304,0.2846,0.3101
"1am",0.3034,0.2853,0.3116
"2am",0.3036,0.2853,0.3111
"3am",0.3038,0.2857,0.3117
